timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1524434584.306215,0.008226,0.153812,2.066474,0.003242,-0.003597,0.001288,0.008129,-0.153207,-0.988161,0.001423,-0.004096,0.018159,19.033615,-21.817303,-52.114136,,,,,,,
1524434584.326235,0.008247,0.153785,2.066462,-0.003136,0.002776,-0.000886,0.008149,-0.153180,-0.988165,0.002532,-0.004718,0.017202,18.138351,-20.830429,-50.894592,,,,,,,
1524434584.346254,0.008241,0.153768,2.066450,0.000068,0.000652,-0.000863,0.008143,-0.153163,-0.988167,0.002629,-0.002736,0.017769,18.436569,-20.033867,-49.891663,,,,,,,
1524434584.366274,0.008210,0.153784,2.066459,0.002183,-0.002532,0.001284,0.008113,-0.153179,-0.988165,0.000783,-0.003285,0.018225,18.976898,-19.742382,-49.185852,,,,,,,
1524434584.386324,0.008223,0.153779,2.066458,-0.002073,-0.000408,0.000191,0.008126,-0.153174,-0.988166,0.000342,-0.002039,0.018943,19.463959,-19.716606,-49.247314,,,,,,,
1524434584.406343,0.008234,0.153774,2.066440,-0.000993,0.000656,-0.000866,0.008137,-0.153169,-0.988166,0.001613,-0.003646,0.017158,19.625275,-19.844219,-49.445374,,,,,,,
1524434584.426363,0.008225,0.153748,2.066450,-0.001008,0.001723,0.001267,0.008128,-0.153143,-0.988171,0.001256,-0.003931,0.017330,20.108383,-19.569851,-50.053650,,,,,,,
1524434584.446383,0.008218,0.153732,2.066443,-0.000989,-0.000401,-0.000863,0.008121,-0.153127,-0.988173,0.000180,-0.001765,0.019087,20.854202,-20.036118,-51.213623,,,,,,,
1524434584.466402,0.008222,0.153759,2.066437,0.002206,-0.001464,0.000226,0.008124,-0.153154,-0.988169,0.001077,-0.002745,0.019129,20.727798,-20.735886,-52.136108,,,,,,,
1524434584.486422,0.008224,0.153802,2.066441,0.003277,0.000665,0.000234,0.008126,-0.153196,-0.988162,-0.000650,-0.002856,0.018207,19.795700,-21.778328,-52.031311,,,,,,,
1524434584.506441,0.008216,0.153803,2.066440,-0.002048,0.001727,-0.000867,0.008119,-0.153197,-0.988162,0.000960,-0.004823,0.017062,18.461533,-21.906456,-51.200623,,,,,,,
1524434584.526461,0.008218,0.153807,2.066444,0.000080,0.001731,0.000214,0.008121,-0.153201,-0.988162,0.000439,-0.003217,0.016619,17.911606,-20.231419,-49.881592,,,,,,,
1524434584.546480,0.008209,0.153807,2.066454,0.002213,-0.003578,0.000228,0.008112,-0.153201,-0.988162,0.000998,-0.003674,0.017931,18.052200,-19.319736,-49.068237,,,,,,,
1524434584.566530,0.008198,0.153834,2.066442,0.002225,-0.003576,-0.000837,0.008101,-0.153228,-0.988157,0.001238,-0.004624,0.020170,18.302475,-18.714214,-48.435181,,,,,,,
1524434584.586550,0.008075,0.153968,2.066398,0.011844,-0.013137,-0.002903,0.007979,-0.153360,-0.988138,0.007554,-0.009085,0.026682,18.769608,-19.191280,-48.344055,,,,,,,
1524434584.606569,0.006944,0.155041,2.066023,0.083524,-0.087532,-0.026934,0.006861,-0.154421,-0.987981,0.062109,-0.061125,0.099813,19.057495,-18.852856,-48.559021,,,,,,,
,,,,,,,,,,,,,,,,42.293395,-71.264234,61.271029,-1.000000,-1.000000,1524434584.590331,
1524434584.626589,0.005386,0.156631,2.065909,0.058742,-0.072625,-0.000455,0.005320,-0.155991,-0.987744,-0.005289,-0.119155,0.022046,19.802094,-18.661987,-49.454773,,,,,,,
1524434584.646608,0.003450,0.156582,2.065671,-0.027638,-0.106640,-0.015959,0.003408,-0.155943,-0.987760,0.013011,-0.112383,-0.080920,19.773193,-19.231976,-50.532166,,,,,,,
1524434584.666628,0.001769,0.155741,2.065346,-0.051100,-0.070519,-0.015051,0.001748,-0.155113,-0.987895,0.006309,-0.137963,-0.013967,20.275269,-20.003654,-51.247070,,,,,,,
1524434584.686647,0.000359,0.154506,2.065010,-0.067125,-0.090706,-0.016224,0.000354,-0.153892,-0.988088,0.007962,-0.079324,0.002583,19.039139,-21.193817,-51.651917,,,,,,,
1524434584.706667,-0.001821,0.153167,2.064701,-0.072522,-0.120446,-0.013063,-0.001800,-0.152569,-0.988291,0.015731,-0.030674,0.032908,17.908859,-21.371132,-51.163391,,,,,,,
1524434584.726686,-0.004056,0.151796,2.064189,-0.075482,-0.116228,-0.039730,-0.004009,-0.151214,-0.988493,0.022106,-0.022248,0.032850,18.048752,-19.857433,-50.008606,,,,,,,
1524434584.746706,-0.006234,0.149450,2.063230,-0.155547,-0.116229,-0.041335,-0.006164,-0.148895,-0.988834,-0.012528,0.011322,-0.051678,17.658951,-19.689465,-49.053589,,,,,,,
1524434584.766756,-0.008289,0.146842,2.062570,-0.090577,-0.091771,-0.020646,-0.008199,-0.146315,-0.989204,-0.016062,-0.004183,0.067726,18.134827,-19.097012,-48.395691,,,,,,,
1524434584.786776,-0.009710,0.146877,2.062525,0.026717,-0.068378,-0.000670,-0.009605,-0.146349,-0.989186,-0.014794,-0.003049,0.091267,18.393494,-18.894821,-48.481812,,,,,,,
1524434584.806795,-0.011168,0.146926,2.062760,-0.004504,-0.049215,0.030029,-0.011047,-0.146398,-0.989164,-0.022827,0.014226,-0.077609,18.672562,-18.884827,-48.912292,,,,,,,
1524434584.826815,-0.011537,0.147546,2.063713,0.041386,-0.010962,0.036733,-0.011411,-0.147012,-0.989069,-0.026736,-0.001563,0.078241,19.371338,-19.028126,-49.903259,,,,,,,
1524434584.846834,-0.013747,0.146527,2.063144,-0.123307,-0.174697,-0.070961,-0.013600,-0.146003,-0.989190,0.123310,0.010505,-0.152136,20.022171,-19.573971,-50.771545,,,,,,,
1524434584.866854,-0.016122,0.144365,2.061796,-0.045491,-0.049306,-0.042726,-0.015953,-0.143864,-0.989469,-0.047920,0.028645,0.089368,19.843536,-20.233524,-51.386780,,,,,,,
1524434584.886873,-0.015909,0.144540,2.061826,0.007397,0.002827,0.018384,-0.015743,-0.144037,-0.989447,-0.063359,-0.003927,0.000433,18.204346,-21.583778,-51.191711,,,,,,,
1524434584.906893,-0.016102,0.145917,2.062774,0.145836,0.018812,0.060885,-0.015930,-0.145400,-0.989245,-0.035324,-0.016007,0.120302,16.892395,-20.549042,-50.410217,,,,,,,
1524434584.926912,-0.017276,0.149563,2.063913,0.174690,-0.106566,0.044026,-0.017083,-0.149006,-0.988689,0.081307,-0.039867,0.044566,17.347214,-19.127422,-49.427002,,,,,,,
1524434584.946962,-0.019287,0.153574,2.065393,0.229856,-0.065078,0.088098,-0.019059,-0.152971,-0.988047,-0.037475,0.004625,0.057856,17.712784,-18.999928,-48.231445,,,,,,,
1524434584.966982,-0.021792,0.158531,2.066878,0.254749,-0.132063,0.043500,-0.021517,-0.157867,-0.987226,0.055346,0.020264,0.100522,17.996353,-18.857040,-47.776550,,,,,,,
1524434584.987001,-0.023865,0.163360,2.067715,0.213304,-0.072592,0.028299,-0.023545,-0.162634,-0.986405,-0.029449,0.048346,0.043488,18.540558,-19.002888,-47.844482,,,,,,,
1524434585.007021,-0.024791,0.165618,2.068129,0.053291,-0.022672,0.017627,-0.024450,-0.164861,-0.986013,-0.028681,-0.007761,-0.080606,18.782974,-19.328205,-48.136108,,,,,,,
1524434585.027040,-0.024967,0.165084,2.067959,-0.062705,0.001712,-0.022591,-0.024625,-0.164335,-0.986097,0.003796,-0.039431,-0.093294,19.677582,-19.819847,-49.333557,,,,,,,
1524434585.047060,-0.024016,0.164288,2.067769,-0.014851,0.059108,0.005444,-0.023691,-0.163550,-0.986250,-0.050772,-0.013833,0.097334,19.763733,-20.903091,-50.315674,,,,,,,
1524434585.067080,-0.023333,0.164558,2.067453,0.037813,0.015503,-0.037902,-0.023016,-0.163816,-0.986222,0.055136,0.022260,0.081498,19.332825,-21.707458,-50.961609,,,,,,,
1524434585.087099,-0.022496,0.166315,2.066121,0.099042,0.042012,-0.075861,-0.022184,-0.165549,-0.985952,0.018705,0.063025,0.090963,18.534866,-23.134331,-51.396973,,,,,,,
1524434585.107119,-0.021081,0.168027,2.064720,0.070178,0.072832,-0.068595,-0.020783,-0.167237,-0.985697,-0.020507,0.027314,0.001734,17.141068,-22.335979,-50.390625,,,,,,,
1524434585.127138,-0.019195,0.169107,2.062997,0.030883,0.080240,-0.091242,-0.018920,-0.168302,-0.985554,0.006682,-0.014239,-0.028973,17.369461,-21.677650,-49.313721,,,,,,,
1524434585.147188,-0.017187,0.169087,2.061584,-0.015366,0.095160,-0.052117,-0.016941,-0.168283,-0.985593,-0.036129,-0.023871,-0.033008,18.653229,-21.040268,-48.698242,,,,,,,
